case_id,hotel_id,room_a_index,room_b_index,room_a_name,room_b_name,fuzzy_score,label
hotel_16299421_20260722_173317,16299421,3,45,Premium Room Side Sea or Pool View,PREMIUM ROOM POOL OR SIDE SEA VIEW,,1
hotel_16299421_20260722_173317,16299421,3,167,Premium Room Side Sea or Pool View,Premium Side Sea/Pool View Room,,1
hotel_16299421_20260722_173317,16299421,3,205,Premium Room Side Sea or Pool View,S26 Premium Room Pool Or Side Sea View,,1
hotel_16299421_20260722_173317,16299421,45,167,PREMIUM ROOM POOL OR SIDE SEA VIEW,Premium Side Sea/Pool View Room,,1
hotel_16299421_20260722_173317,16299421,45,205,PREMIUM ROOM POOL OR SIDE SEA VIEW,S26 Premium Room Pool Or Side Sea View,,1
hotel_16299421_20260722_173317,16299421,45,207,PREMIUM ROOM POOL OR SIDE SEA VIEW,Premium Room Pool Or Side Sea View,,1
hotel_16299421_20260722_173317,16299421,167,177,Premium Side Sea/Pool View Room,Premium Side Sea/Pool View Room,,1
hotel_16299421_20260722_173317,16299421,167,205,Premium Side Sea/Pool View Room,S26 Premium Room Pool Or Side Sea View,,1
hotel_16299421_20260722_173317,16299421,205,206,S26 Premium Room Pool Or Side Sea View,S26 Premium Room Pool Or Side Sea View,,1
hotel_16299421_20260722_173317,16299421,4,24,Deluxe Room,DELUXE ROOM,,1
hotel_16299421_20260722_173317,16299421,4,36,Deluxe Room,DE LUXE,,1
hotel_16299421_20260722_173317,16299421,5,15,Family Room,FAMILY ROOM STANDARD,,1
hotel_16299421_20260722_173317,16299421,5,18,Family Room,STANDARD FAMILY ROOM,,1
hotel_16299421_20260722_173317,16299421,5,25,Family Room,FAMILY ROOM,,1
hotel_16299421_20260722_173317,16299421,5,83,Family Room,FAMILYROOM,,1
hotel_16299421_20260722_173317,16299421,5,87,Family Room,FAMILY ROOM 2AD,,1
hotel_16299421_20260722_173317,16299421,5,153,Family Room,Family Room - 2 Adults + 2 Children,,1
hotel_16299421_20260722_173317,16299421,15,16,FAMILY ROOM STANDARD,FAMILY ROOM STANDARD,,1
hotel_16299421_20260722_173317,16299421,15,18,FAMILY ROOM STANDARD,STANDARD FAMILY ROOM,,1
hotel_16299421_20260722_173317,16299421,15,83,FAMILY ROOM STANDARD,FAMILYROOM,,1
hotel_16299421_20260722_173317,16299421,15,87,FAMILY ROOM STANDARD,FAMILY ROOM 2AD,,1
hotel_16299421_20260722_173317,16299421,15,153,FAMILY ROOM STANDARD,Family Room - 2 Adults + 2 Children,,1
hotel_16299421_20260722_173317,16299421,18,83,STANDARD FAMILY ROOM,FAMILYROOM,,1
hotel_16299421_20260722_173317,16299421,18,87,STANDARD FAMILY ROOM,FAMILY ROOM 2AD,,1
hotel_16299421_20260722_173317,16299421,18,153,STANDARD FAMILY ROOM,Family Room - 2 Adults + 2 Children,,1
hotel_16299421_20260722_173317,16299421,83,87,FAMILYROOM,FAMILY ROOM 2AD,,1
hotel_16299421_20260722_173317,16299421,83,153,FAMILYROOM,Family Room - 2 Adults + 2 Children,,1
hotel_16299421_20260722_173317,16299421,87,153,FAMILY ROOM 2AD,Family Room - 2 Adults + 2 Children,,1
hotel_16299421_20260722_173317,16299421,153,155,Family Room - 2 Adults + 2 Children,Family Room - 2 Adults + 2 Children,,1
hotel_16299421_20260722_173317,16299421,6,21,Premium Family Room,FAMILY ROOM PREMIUM (2+2/2+3),,1
hotel_16299421_20260722_173317,16299421,6,26,Premium Family Room,PREMIUM FAMILY ROOM,,1
hotel_16299421_20260722_173317,16299421,6,31,Premium Family Room,FAMILY ROOM - PREMIUM,,1
hotel_16299421_20260722_173317,16299421,6,157,Premium Family Room,Premium Family Room for 2 Adults and 2 Children,,1
hotel_16299421_20260722_173317,16299421,6,158,Premium Family Room,Premium Family,,1
hotel_16299421_20260722_173317,16299421,6,228,Premium Family Room,Premium Family Room 1/2ad,,1
hotel_16299421_20260722_173317,16299421,21,31,FAMILY ROOM PREMIUM (2+2/2+3),FAMILY ROOM - PREMIUM,,1
hotel_16299421_20260722_173317,16299421,21,157,FAMILY ROOM PREMIUM (2+2/2+3),Premium Family Room for 2 Adults and 2 Children,,1
hotel_16299421_20260722_173317,16299421,21,158,FAMILY ROOM PREMIUM (2+2/2+3),Premium Family,,1
hotel_16299421_20260722_173317,16299421,21,228,FAMILY ROOM PREMIUM (2+2/2+3),Premium Family Room 1/2ad,,1
hotel_16299421_20260722_173317,16299421,31,157,FAMILY ROOM - PREMIUM,Premium Family Room for 2 Adults and 2 Children,,1
hotel_16299421_20260722_173317,16299421,31,158,FAMILY ROOM - PREMIUM,Premium Family,,1
hotel_16299421_20260722_173317,16299421,31,228,FAMILY ROOM - PREMIUM,Premium Family Room 1/2ad,,1
hotel_16299421_20260722_173317,16299421,157,158,Premium Family Room for 2 Adults and 2 Children,Premium Family,,1
hotel_16299421_20260722_173317,16299421,157,161,Premium Family Room for 2 Adults and 2 Children,Premium Family Room for 2 Adults and 2 Children,,1
hotel_16299421_20260722_173317,16299421,157,228,Premium Family Room for 2 Adults and 2 Children,Premium Family Room 1/2ad,,1
hotel_16299421_20260722_173317,16299421,158,162,Premium Family,Premium Family,,1
hotel_16299421_20260722_173317,16299421,158,228,Premium Family,Premium Family Room 1/2ad,,1
hotel_16299421_20260722_173317,16299421,7,8,DOUBLE CLASSIC,DOUBLE CLASSIC,,1
hotel_16299421_20260722_173317,16299421,7,38,DOUBLE CLASSIC,CLASSIC ROOM,,1
hotel_16299421_20260722_173317,16299421,7,75,DOUBLE CLASSIC,CLASSIC DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),,1
hotel_16299421_20260722_173317,16299421,38,49,CLASSIC ROOM,CLASSIC ROOM,,1
hotel_16299421_20260722_173317,16299421,38,75,CLASSIC ROOM,CLASSIC DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),,1
hotel_16299421_20260722_173317,16299421,75,131,CLASSIC DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),Classic Double room (full double bed) (bed type is subject to availability),,1
hotel_16299421_20260722_173317,16299421,9,10,DOUBLE DELUXE WITH BALCONY,DOUBLE DELUXE WITH BALCONY,,1
hotel_16299421_20260722_173317,16299421,9,17,DOUBLE DELUXE WITH BALCONY,DOUBLE DELUXE ROOM WITH BALCONY,,1
hotel_16299421_20260722_173317,16299421,11,12,DOUBLE PREMIUM WITH VIEWS,DOUBLE PREMIUM WITH VIEWS,,1
hotel_16299421_20260722_173317,16299421,11,37,DOUBLE PREMIUM WITH VIEWS,PREMIUM - VIEW,,1
hotel_16299421_20260722_173317,16299421,19,50,DOUBLE CLASSIC ROOM WITH BALCONY,CLASSIC ROOM WITH BALCONY,,1
hotel_16299421_20260722_173317,16299421,50,51,CLASSIC ROOM WITH BALCONY,CLASSIC ROOM WITH BALCONY,,1
hotel_16299421_20260722_173317,16299421,20,65,DOUBLE PREMIUM ROOM WITH BALCONY,PREMIUM ROOM WITH BALCONY,,1
hotel_16299421_20260722_173317,16299421,27,44,PREMIUM ROOM LAND VIEW,PREMIUM ROOM LAND VIEW,,1
hotel_16299421_20260722_173317,16299421,27,150,PREMIUM ROOM LAND VIEW,Premium Land View Room,,1
hotel_16299421_20260722_173317,16299421,150,151,Premium Land View Room,Premium Land View Room,,1
hotel_16299421_20260722_173317,16299421,28,164,PREMIUM ROOM WITH POOL OR SIDE SEA VIEW,PREMIUM ROOM with Pool or Side Sea View,,1
hotel_16299421_20260722_173317,16299421,30,203,PREMIUM SIDE SEA VIEW,Premium Room Side Sea View,,1
hotel_16299421_20260722_173317,16299421,34,208,TWIN/DOUBLE ROOM - PREMIUM - LAND VIEW,Premium Room Land View Double,,1
hotel_16299421_20260722_173317,16299421,35,213,TWIN/DOUBLE ROOM - PREMIUM - POOL OR SIDE SEA VIEW,Premium Room Pool Or Side Sea View Double,,1
hotel_16299421_20260722_173317,16299421,213,224,Premium Room Pool Or Side Sea View Double,Premium Room Pool Or Side Sea View Double,,1
hotel_16299421_20260722_173317,16299421,52,184,DELUXE DOUBLE OR TWIN ROOM,Deluxe Double Room,,1
hotel_16299421_20260722_173317,16299421,184,195,Deluxe Double Room,Deluxe Double Room,,1
hotel_16299421_20260722_173317,16299421,63,64,PREMIUM ROOM - LATERAL SEA VIEW,PREMIUM ROOM - LATERAL SEA VIEW,,1
hotel_16299421_20260722_173317,16299421,66,67,PREMIUM SUITE,PREMIUM SUITE,,1
hotel_16299421_20260722_173317,16299421,71,72,SUITE,SUITE,,1
hotel_16299421_20260722_173317,16299421,86,138,PREMIUM ROOM (2/3 PAX),Premium Triple Room,,1
hotel_16299421_20260722_173317,16299421,138,143,Premium Triple Room,Premium Triple Room,,1
hotel_16299421_20260722_173317,16299421,94,95,Pool Duplex Suite Swim-up,Pool Duplex Suite Swim-up,,1
hotel_16299421_20260722_173317,16299421,94,98,Pool Duplex Suite Swim-up,"Pool Duplex Suite Swim-up 1 Double Bed, 2 Twin Beds and 1 Twin Sofa Bed",,1
hotel_16299421_20260722_173317,16299421,98,99,"Pool Duplex Suite Swim-up 1 Double Bed, 2 Twin Beds and 1 Twin Sofa Bed","Pool Duplex Suite Swim-up 1 Double Bed, 2 Twin Beds and 1 Twin Sofa Bed",,1
hotel_16299421_20260722_173317,16299421,96,97,Lake House,Lake House,,1
hotel_16299421_20260722_173317,16299421,100,101,Premium Pool Duplex Suite Swim Up 1 King Bed and 2 Twin Beds,Premium Pool Duplex Suite Swim Up 1 King Bed and 2 Twin Beds,,1
hotel_16299421_20260722_173317,16299421,102,103,"Lake House 1 Queen Bed, 2 Twin Beds and 1 Twin Sofa Bed","Lake House 1 Queen Bed, 2 Twin Beds and 1 Twin Sofa Bed",,1
hotel_16299421_20260722_173317,16299421,104,105,Presidential Suite 1 King Bed and 2 Twin Beds,Presidential Suite 1 King Bed and 2 Twin Beds,,1
hotel_16299421_20260722_173317,16299421,106,107,Family Room 1 Double Bed and 2 Twin Beds,Family Room 1 Double Bed and 2 Twin Beds,,1
hotel_16299421_20260722_173317,16299421,108,110,Premium Room 12+ 1 Queen Bed and 1 Twin Sofa Bed,Premium Room 12+ 1 Queen Bed and 1 Twin Sofa Bed,,1
hotel_16299421_20260722_173317,16299421,109,111,Premium Room 12+ 2 Twin Beds and 1 Twin Sofa Bed,Premium Room 12+ 2 Twin Beds and 1 Twin Sofa Bed,,1
hotel_16299421_20260722_173317,16299421,112,114,Premium Side Sea/Pool View Room +12 1 Queen Bed and 1 Twin Sofa Bed,Premium Side Sea/Pool View Room +12 1 Queen Bed and 1 Twin Sofa Bed,,1
hotel_16299421_20260722_173317,16299421,113,115,Premium Side Sea/Pool View Room +12 2 Twin Beds and 1 Twin Sofa Bed,Premium Side Sea/Pool View Room +12 2 Twin Beds and 1 Twin Sofa Bed,,1
hotel_16299421_20260722_173317,16299421,116,117,Deluxe Room with Jacuzzi 1 Queen Bed,Deluxe Room with Jacuzzi 1 Queen Bed,,1
hotel_16299421_20260722_173317,16299421,118,119,Royal Suite 2 King Beds,Royal Suite 2 King Beds,,1
hotel_16299421_20260722_173317,16299421,122,123,Premium Family Room 1 King Bed and 2 Twin Beds,Premium Family Room 1 King Bed and 2 Twin Beds,,1
hotel_16299421_20260722_173317,16299421,126,127,Grand Duplex Suite 1 King Bed and 2 Twin Beds,Grand Duplex Suite 1 King Bed and 2 Twin Beds,,1
hotel_16299421_20260722_173317,16299421,135,136,Premium Double room with sea or pool view (full double bed) (bed type is subject to availability),"Premium Double room with sea or pool view (twin beds) (bed type is subject to availability, sofa, welcome drink)",,1
hotel_16299421_20260722_173317,16299421,135,137,Premium Double room with sea or pool view (full double bed) (bed type is subject to availability),"Premium Double room with sea or pool view (full double bed) (bed type is subject to availability, sofa, welcome drink)",,1
hotel_16299421_20260722_173317,16299421,136,137,"Premium Double room with sea or pool view (twin beds) (bed type is subject to availability, sofa, welcome drink)","Premium Double room with sea or pool view (full double bed) (bed type is subject to availability, sofa, welcome drink)",,1
hotel_16299421_20260722_173317,16299421,140,144,Premium Pool View Triple Room,Premium Pool View Triple Room,,1
hotel_16299421_20260722_173317,16299421,141,145,Premium Pool View Room,Premium Pool View Room,,1
hotel_16299421_20260722_173317,16299421,147,148,Deluxe Jacuzzi with Balcony,Deluxe Jacuzzi with Balcony,,1
hotel_16299421_20260722_173317,16299421,172,189,Grand Duplex Suite,Grand Duplex Suite,,1
hotel_16299421_20260722_173317,16299421,173,185,Premium Pool Duplex Suite Swim-up,Premium Pool Duplex Suite Swim-up,,1
hotel_16299421_20260722_173317,16299421,174,188,Family Suite,Family Suite,,1
hotel_16299421_20260722_173317,16299421,234,238,Premium Pool Dublex Suite Swim Up,Premium Pool Dublex Suite Swim Up,,1
hotel_16299421_20260722_173317,16299421,219,3,Premium Double Room,Premium Room Side Sea or Pool View,77.42,0
hotel_16299421_20260722_173317,16299421,219,45,Premium Double Room,PREMIUM ROOM POOL OR SIDE SEA VIEW,77.42,0
hotel_16299421_20260722_173317,16299421,219,167,Premium Double Room,Premium Side Sea/Pool View Room,77.42,0
hotel_16299421_20260722_173317,16299421,219,205,Premium Double Room,S26 Premium Room Pool Or Side Sea View,77.42,0
hotel_16299421_20260722_173317,16299421,1,158,Premium Room,Premium Family,73.68,0
hotel_16299421_20260722_173317,16299421,77,6,PREMIUM DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),Premium Family Room,77.42,0
hotel_16299421_20260722_173317,16299421,77,31,PREMIUM DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),FAMILY ROOM - PREMIUM,72.73,0
hotel_16299421_20260722_173317,16299421,133,6,"Premium Double room (full double bed) (bed type is subject to availability, sofa, welcome drink)",Premium Family Room,77.42,0
hotel_16299421_20260722_173317,16299421,133,31,"Premium Double room (full double bed) (bed type is subject to availability, sofa, welcome drink)",FAMILY ROOM - PREMIUM,72.73,0
hotel_16299421_20260722_173317,16299421,134,6,"Premium Double room (twin beds) (bed type is subject to availability, sofa, welcome drink)",Premium Family Room,77.42,0
hotel_16299421_20260722_173317,16299421,134,31,"Premium Double room (twin beds) (bed type is subject to availability, sofa, welcome drink)",FAMILY ROOM - PREMIUM,72.73,0
hotel_16299421_20260722_173317,16299421,219,6,Premium Double Room,Premium Family Room,77.42,0
hotel_16299421_20260722_173317,16299421,219,21,Premium Double Room,FAMILY ROOM PREMIUM (2+2/2+3),77.42,0
hotel_16299421_20260722_173317,16299421,219,31,Premium Double Room,FAMILY ROOM - PREMIUM,77.42,0
hotel_16299421_20260722_173317,16299421,219,157,Premium Double Room,Premium Family Room for 2 Adults and 2 Children,77.42,0
hotel_16299421_20260722_173317,16299421,219,228,Premium Double Room,Premium Family Room 1/2ad,77.42,0
hotel_16299421_20260722_173317,16299421,130,6,Premium Double room (full double bed),Premium Family Room,77.42,0
hotel_16299421_20260722_173317,16299421,130,31,Premium Double room (full double bed),FAMILY ROOM - PREMIUM,72.73,0
hotel_16299421_20260722_173317,16299421,77,75,PREMIUM DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),CLASSIC DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),93.75,0
hotel_16299421_20260722_173317,16299421,133,75,"Premium Double room (full double bed) (bed type is subject to availability, sofa, welcome drink)",CLASSIC DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),80.7,0
hotel_16299421_20260722_173317,16299421,134,75,"Premium Double room (twin beds) (bed type is subject to availability, sofa, welcome drink)",CLASSIC DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),73.42,0
hotel_16299421_20260722_173317,16299421,219,75,Premium Double Room,CLASSIC DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),73.33,0
hotel_16299421_20260722_173317,16299421,130,75,Premium Double room (full double bed),CLASSIC DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),84.62,0
hotel_16299421_20260722_173317,16299421,219,17,Premium Double Room,DOUBLE DELUXE ROOM WITH BALCONY,73.33,0
hotel_16299421_20260722_173317,16299421,1,11,Premium Room,DOUBLE PREMIUM WITH VIEWS,73.68,0
hotel_16299421_20260722_173317,16299421,1,37,Premium Room,PREMIUM - VIEW,73.68,0
hotel_16299421_20260722_173317,16299421,77,11,PREMIUM DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),DOUBLE PREMIUM WITH VIEWS,71.79,0
hotel_16299421_20260722_173317,16299421,133,11,"Premium Double room (full double bed) (bed type is subject to availability, sofa, welcome drink)",DOUBLE PREMIUM WITH VIEWS,71.79,0
hotel_16299421_20260722_173317,16299421,134,11,"Premium Double room (twin beds) (bed type is subject to availability, sofa, welcome drink)",DOUBLE PREMIUM WITH VIEWS,71.79,0
hotel_16299421_20260722_173317,16299421,219,11,Premium Double Room,DOUBLE PREMIUM WITH VIEWS,84.85,0
hotel_16299421_20260722_173317,16299421,130,11,Premium Double room (full double bed),DOUBLE PREMIUM WITH VIEWS,71.79,0
hotel_16299421_20260722_173317,16299421,219,19,Premium Double Room,DOUBLE CLASSIC ROOM WITH BALCONY,73.33,0
hotel_16299421_20260722_173317,16299421,77,20,PREMIUM DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),DOUBLE PREMIUM ROOM WITH BALCONY,74.51,0
hotel_16299421_20260722_173317,16299421,133,20,"Premium Double room (full double bed) (bed type is subject to availability, sofa, welcome drink)",DOUBLE PREMIUM ROOM WITH BALCONY,74.51,0
hotel_16299421_20260722_173317,16299421,134,20,"Premium Double room (twin beds) (bed type is subject to availability, sofa, welcome drink)",DOUBLE PREMIUM ROOM WITH BALCONY,74.51,0
hotel_16299421_20260722_173317,16299421,219,65,Premium Double Room,PREMIUM ROOM WITH BALCONY,77.42,0
hotel_16299421_20260722_173317,16299421,130,20,Premium Double room (full double bed),DOUBLE PREMIUM ROOM WITH BALCONY,77.55,0
hotel_16299421_20260722_173317,16299421,1,22,Premium Room,SUITE PREMIUM DUPLEX,73.68,0
hotel_16299421_20260722_173317,16299421,13,22,DOUBLE PREMIUM,SUITE PREMIUM DUPLEX,70.59,0
hotel_16299421_20260722_173317,16299421,77,27,PREMIUM DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),PREMIUM ROOM LAND VIEW,70.59,0
hotel_16299421_20260722_173317,16299421,77,150,PREMIUM DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),Premium Land View Room,70.59,0
hotel_16299421_20260722_173317,16299421,133,27,"Premium Double room (full double bed) (bed type is subject to availability, sofa, welcome drink)",PREMIUM ROOM LAND VIEW,70.59,0
hotel_16299421_20260722_173317,16299421,133,150,"Premium Double room (full double bed) (bed type is subject to availability, sofa, welcome drink)",Premium Land View Room,70.59,0
hotel_16299421_20260722_173317,16299421,134,27,"Premium Double room (twin beds) (bed type is subject to availability, sofa, welcome drink)",PREMIUM ROOM LAND VIEW,70.59,0
hotel_16299421_20260722_173317,16299421,134,150,"Premium Double room (twin beds) (bed type is subject to availability, sofa, welcome drink)",Premium Land View Room,70.59,0
hotel_16299421_20260722_173317,16299421,219,27,Premium Double Room,PREMIUM ROOM LAND VIEW,77.42,0
hotel_16299421_20260722_173317,16299421,219,150,Premium Double Room,Premium Land View Room,77.42,0
hotel_16299421_20260722_173317,16299421,130,27,Premium Double room (full double bed),PREMIUM ROOM LAND VIEW,70.59,0
hotel_16299421_20260722_173317,16299421,130,150,Premium Double room (full double bed),Premium Land View Room,70.59,0
hotel_16299421_20260722_173317,16299421,219,28,Premium Double Room,PREMIUM ROOM WITH POOL OR SIDE SEA VIEW,77.42,0
hotel_16299421_20260722_173317,16299421,1,30,Premium Room,PREMIUM SIDE SEA VIEW,73.68,0
hotel_16299421_20260722_173317,16299421,219,203,Premium Double Room,Premium Room Side Sea View,77.42,0
hotel_16299421_20260722_173317,16299421,77,208,PREMIUM DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),Premium Room Land View Double,79.17,0
hotel_16299421_20260722_173317,16299421,133,208,"Premium Double room (full double bed) (bed type is subject to availability, sofa, welcome drink)",Premium Room Land View Double,79.17,0
hotel_16299421_20260722_173317,16299421,134,208,"Premium Double room (twin beds) (bed type is subject to availability, sofa, welcome drink)",Premium Room Land View Double,79.17,0
hotel_16299421_20260722_173317,16299421,219,34,Premium Double Room,TWIN/DOUBLE ROOM - PREMIUM - LAND VIEW,77.42,0
hotel_16299421_20260722_173317,16299421,130,208,Premium Double room (full double bed),Premium Room Land View Double,79.17,0
hotel_16299421_20260722_173317,16299421,219,35,Premium Double Room,TWIN/DOUBLE ROOM - PREMIUM - POOL OR SIDE SEA VIEW,77.42,0
hotel_16299421_20260722_173317,16299421,130,213,Premium Double room (full double bed),Premium Room Pool Or Side Sea View Double,77.55,0
hotel_16299421_20260722_173317,16299421,77,184,PREMIUM DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),Deluxe Double Room,75.86,0
hotel_16299421_20260722_173317,16299421,133,184,"Premium Double room (full double bed) (bed type is subject to availability, sofa, welcome drink)",Deluxe Double Room,75.86,0
hotel_16299421_20260722_173317,16299421,134,184,"Premium Double room (twin beds) (bed type is subject to availability, sofa, welcome drink)",Deluxe Double Room,75.86,0
hotel_16299421_20260722_173317,16299421,219,52,Premium Double Room,DELUXE DOUBLE OR TWIN ROOM,73.33,0
hotel_16299421_20260722_173317,16299421,219,184,Premium Double Room,Deluxe Double Room,75.86,0
hotel_16299421_20260722_173317,16299421,130,184,Premium Double room (full double bed),Deluxe Double Room,75.86,0
hotel_16299421_20260722_173317,16299421,219,63,Premium Double Room,PREMIUM ROOM - LATERAL SEA VIEW,77.42,0
hotel_16299421_20260722_173317,16299421,1,66,Premium Room,PREMIUM SUITE,73.68,0
hotel_16299421_20260722_173317,16299421,13,66,DOUBLE PREMIUM,PREMIUM SUITE,74.07,0
hotel_16299421_20260722_173317,16299421,77,66,PREMIUM DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),PREMIUM SUITE,70.0,0
hotel_16299421_20260722_173317,16299421,133,66,"Premium Double room (full double bed) (bed type is subject to availability, sofa, welcome drink)",PREMIUM SUITE,70.0,0
hotel_16299421_20260722_173317,16299421,134,66,"Premium Double room (twin beds) (bed type is subject to availability, sofa, welcome drink)",PREMIUM SUITE,70.0,0
hotel_16299421_20260722_173317,16299421,219,66,Premium Double Room,PREMIUM SUITE,70.0,0
hotel_16299421_20260722_173317,16299421,130,66,Premium Double room (full double bed),PREMIUM SUITE,70.0,0
hotel_16299421_20260722_173317,16299421,1,68,Premium Room,PREMIUM SUITE WITH POOL ACCESS,73.68,0
